epsilon  0.3 0.305 0.31 0.315 0.32 0.325 0.33 0.335 0.34 0.345 0.35 0.355 0.36 0.365 0.37 0.375 0.38 0.385 0.39 0.395 0.4 0.405 0.41 0.415 0.42 0.425 0.43 0.435 0.44 0.445 0.45 0.455 0.46 0.465 0.47 0.475 0.48 0.485 0.49 0.495 0.5
10 0.000181394 0.000159861 0.000174078 0.000181198 0.000174078 0.00017743 0.00023706 0.000240787 0.00022578 0.000624652 0.00130468 0.00220297 0.00347403 0.00481293 0.0103496 0.0194227 0.0324354 0.0457407 0.0680101 0.0712387 0.0944551 0.121795 0.14594 0.169784 0.202108 0.227393 0.24896 0.266691 0.277599 0.290041 0.317995 0.327178 0.343548 0.358441 0.367574 0.384942 0.386469 0.394398 0.411865 0.419513 0.428399
