epsilon  0.3 0.305 0.31 0.315 0.32 0.325 0.33 0.335 0.34 0.345 0.35 0.355 0.36 0.365 0.37 0.375 0.38 0.385 0.39 0.395 0.4 0.405 0.41 0.415 0.42 0.425 0.43 0.435 0.44 0.445 0.45 0.455 0.46 0.465 0.47 0.475 0.48 0.485 0.49 0.495 0.5
10 0 0 9.9992e-08 5.99952e-07 4.9996e-07 9.19926e-06 1.96984e-05 6.35949e-05 0.000188803 0.000385816 0.00122191 0.00163565 0.00290453 0.00591937 0.0122447 0.0161667 0.028001 0.0345119 0.0428806 0.065767 0.0854504 0.107921 0.14145 0.162861 0.209637 0.223922 0.230322 0.267558 0.276815 0.297591 0.316716 0.323284 0.344092 0.351378 0.369951 0.376361 0.387764 0.39934 0.409026 0.420974 0.425982
